"ID","Region","Institution","Region ID","is Polling Station","Active Register","is Group","Parent Electoral District"
"CHANGAMWE","CHANGAMWE CONSTITUENCY","United Progressive Alliance",1,"0","V-REG-00001","1","MOMBASA COUNTY"
"JOMVU","JOMVU CONSTITUENCY","United Progressive Alliance",2,"0","V-REG-00001","1","MOMBASA COUNTY"
"KISAUNI","KISAUNI CONSTITUENCY","United Progressive Alliance",3,"0","V-REG-00001","1","MOMBASA COUNTY"
"NYALI","NYALI CONSTITUENCY","United Progressive Alliance",4,"0","V-REG-00001","1","MOMBASA COUNTY"
"LIKONI","LIKONI CONSTITUENCY","United Progressive Alliance",5,"0","V-REG-00001","1","MOMBASA COUNTY"
"MVITA","MVITA CONSTITUENCY","United Progressive Alliance",6,"0","V-REG-00001","1","MOMBASA COUNTY"
"MSAMBWENI","MSAMBWENI CONSTITUENCY","United Progressive Alliance",7,"0","V-REG-00001","1","KWALE COUNTY"
"LUNGALUNGA","LUNGALUNGA CONSTITUENCY","United Progressive Alliance",8,"0","V-REG-00001","1","KWALE COUNTY"
"MATUGA","MATUGA CONSTITUENCY","United Progressive Alliance",9,"0","V-REG-00001","1","KWALE COUNTY"
"KINANGO","KINANGO CONSTITUENCY","United Progressive Alliance",10,"0","V-REG-00001","1","KWALE COUNTY"
"KILIFI NORTH","KILIFI NORTH CONSTITUENCY","United Progressive Alliance",11,"0","V-REG-00001","1","KILIFI COUNTY"
"KILIFI SOUTH","KILIFI SOUTH CONSTITUENCY","United Progressive Alliance",12,"0","V-REG-00001","1","KILIFI COUNTY"
"KALOLENI","KALOLENI CONSTITUENCY","United Progressive Alliance",13,"0","V-REG-00001","1","KILIFI COUNTY"
"RABAI","RABAI CONSTITUENCY","United Progressive Alliance",14,"0","V-REG-00001","1","KILIFI COUNTY"
"GANZE","GANZE CONSTITUENCY","United Progressive Alliance",15,"0","V-REG-00001","1","KILIFI COUNTY"
"MALINDI","MALINDI CONSTITUENCY","United Progressive Alliance",16,"0","V-REG-00001","1","KILIFI COUNTY"
"MAGARINI","MAGARINI CONSTITUENCY","United Progressive Alliance",17,"0","V-REG-00001","1","KILIFI COUNTY"
"GARSEN","GARSEN CONSTITUENCY","United Progressive Alliance",18,"0","V-REG-00001","1","TANA RIVER COUNTY"
"GALOLE","GALOLE CONSTITUENCY","United Progressive Alliance",19,"0","V-REG-00001","1","TANA RIVER COUNTY"
"BURA","BURA CONSTITUENCY","United Progressive Alliance",20,"0","V-REG-00001","1","TANA RIVER COUNTY"
"LAMU EAST","LAMU EAST CONSTITUENCY","United Progressive Alliance",21,"0","V-REG-00001","1","LAMU COUNTY"
"LAMU WEST","LAMU WEST CONSTITUENCY","United Progressive Alliance",22,"0","V-REG-00001","1","LAMU COUNTY"
"TAVETA","TAVETA CONSTITUENCY","United Progressive Alliance",23,"0","V-REG-00001","1","TAITA TAVETA COUNTY"
"WUNDANYI","WUNDANYI CONSTITUENCY","United Progressive Alliance",24,"0","V-REG-00001","1","TAITA TAVETA COUNTY"
"MWATATE","MWATATE CONSTITUENCY","United Progressive Alliance",25,"0","V-REG-00001","1","TAITA TAVETA COUNTY"
"VOI","VOI CONSTITUENCY","United Progressive Alliance",26,"0","V-REG-00001","1","TAITA TAVETA COUNTY"
"GARISSA TOWNSHIP","GARISSA TOWNSHIP CONSTITUENCY","United Progressive Alliance",27,"0","V-REG-00001","1","GARISSA COUNTY"
