"ID","Region","Institution","Region ID","is Polling Station","Active Register","is Group","Parent Electoral District"
"PORT REITZ","PORT REITZ WARD","United Progressive Alliance",1,"0","V-REG-00001","1","CHANGAMWE CONSTITUENCY"
"KIPEVU","KIPEVU WARD","United Progressive Alliance",2,"0","V-REG-00001","1","CHANGAMWE CONSTITUENCY"
"AIRPORT","AIRPORT WARD","United Progressive Alliance",3,"0","V-REG-00001","1","CHANGAMWE CONSTITUENCY"
"CHANGAMWE","CHANGAMWE WARD","United Progressive Alliance",4,"0","V-REG-00001","1","CHANGAMWE CONSTITUENCY"
"CHAANI","CHAANI WARD","United Progressive Alliance",5,"0","V-REG-00001","1","CHANGAMWE CONSTITUENCY"
"JOMVU KUU","JOMVU KUU WARD","United Progressive Alliance",6,"0","V-REG-00001","1","JOMVU CONSTITUENCY"
"MIRITINI","MIRITINI WARD","United Progressive Alliance",7,"0","V-REG-00001","1","JOMVU CONSTITUENCY"
"MIKINDANI","MIKINDANI WARD","United Progressive Alliance",8,"0","V-REG-00001","1","JOMVU CONSTITUENCY"
"MJAMBERE","MJAMBERE WARD","United Progressive Alliance",9,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"JUNDA","JUNDA WARD","United Progressive Alliance",10,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"BAMBURI","BAMBURI WARD","United Progressive Alliance",11,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"MWAKIRUNGE","MWAKIRUNGE WARD","United Progressive Alliance",12,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"MTOPANGA","MTOPANGA WARD","United Progressive Alliance",13,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"MAGOGONI","MAGOGONI WARD","United Progressive Alliance",14,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"SHANZU","SHANZU WARD","United Progressive Alliance",15,"0","V-REG-00001","1","KISAUNI CONSTITUENCY"
"FRERE TOWN","FRERE TOWN WARD","United Progressive Alliance",16,"0","V-REG-00001","1","NYALI CONSTITUENCY"
"ZIWA LA NG'OMBE","ZIWA LA NG'OMBE WARD","United Progressive Alliance",17,"0","V-REG-00001","1","NYALI CONSTITUENCY"
"MKOMANI","MKOMANI WARD","United Progressive Alliance",18,"0","V-REG-00001","1","NYALI CONSTITUENCY"
"KONGOWEA","KONGOWEA WARD","United Progressive Alliance",19,"0","V-REG-00001","1","NYALI CONSTITUENCY"
"KADZANDANI","KADZANDANI WARD","United Progressive Alliance",20,"0","V-REG-00001","1","NYALI CONSTITUENCY"
"MTONGWE","MTONGWE WARD","United Progressive Alliance",21,"0","V-REG-00001","1","LIKONI CONSTITUENCY"
"SHIKA ADABU","SHIKA ADABU WARD","United Progressive Alliance",22,"0","V-REG-00001","1","LIKONI CONSTITUENCY"
"BOFU","BOFU WARD","United Progressive Alliance",23,"0","V-REG-00001","1","LIKONI CONSTITUENCY"
"LIKONI","LIKONI WARD","United Progressive Alliance",24,"0","V-REG-00001","1","LIKONI CONSTITUENCY"
"TIMBWANI","TIMBWANI WARD","United Progressive Alliance",25,"0","V-REG-00001","1","LIKONI CONSTITUENCY"
"MJI WA KALE/MAKADARA","MJI WA KALE/MAKADARA WARD","United Progressive Alliance",26,"0","V-REG-00001","1","MVITA CONSTITUENCY"
"TUDOR","TUDOR WARD","United Progressive Alliance",27,"0","V-REG-00001","1","MVITA CONSTITUENCY"
